IHE-MADO,EU-MADO,MS,Consumer,Producer,Documentation,EHDS,EHDS-Consumer,EHDS-Producer
,,,,,,EHDSDosage.dosageDetails.repeat.timeOfDay,,
,,,,,,EHDSDosage.dosageDetails.repeat.eventTime,,
,,,,,,EHDSDosage.dosageDetails.asNeeded,,
,,,,,,EHDSDosage.dosageDetails.bodySite,,
,,,,,,EHDSDosage.dosageDetails.routeOfAdministration,,SHOULD:able-to-populate
,,,,,,EHDSEncounter.header,,
,,,,,,EHDSEncounter.header.subject,,
,,,,,,EHDSEncounter.header.identifier,,
,,,,,,EHDSEncounter.header.author[x],,
,,,,,,EHDSEncounter.header.date,,
,,,,,,EHDSEncounter.header.status,,
,,,,,,EHDSEncounter.header.source,,
,,,,,,EHDSEncounter.header.language,,
,,,,,,EHDSEncounter.priority,,
,,,,,,EHDSEncounter.type,,
,,,,,,EHDSEncounter.period,,
,,,,,,EHDSEncounter.serviceProvider,,
,,,,,,EHDSEncounter.referringProfessional,,
,,,,,,EHDSEncounter.basedOn[x],,
,,,,,,EHDSEncounter.reason[x],,
,,,,,,EHDSEncounter.admission,,
,,,,,,EHDSEncounter.admission.admitter,,
,,,,,,EHDSEncounter.admission.admitSource,,
,,,,,,EHDSEncounter.dischargeDiagnosis[x],,
,,,,,,EHDSEncounter.dischargeDestination,,
,,,,,,EHDSEncounter.dischargeDestination.type,,
,,,,,,EHDSEncounter.dischargeDestination.location[x],,
,,,,,,EHDSEncounter.serviceLocation,,
,,,,,,EHDSEncounter.serviceLocation.period,,
,,,,,,EHDSEncounter.serviceLocation.organisationPart[x],,
,,,,,,EHDSEncounter.subEncounter,,
,,,,,,EHDSEncounter.note,,
,,,,,,EHDSEndpoint.identifier,,
,,,,,,EHDSEndpoint.status,,
,,,,,,EHDSEndpoint.connectionType,,
,,,,,,EHDSEndpoint.name,,
,,,,,,EHDSEndpoint.managingOrganisation,,
,,,,,,EHDSEndpoint.payload,,
,,,,,,EHDSEndpoint.payload.type,,
,,,,,,EHDSEndpoint.payload.mimeType,,
,,,,,,EHDSEndpoint.payload.profileCanonical,,
,,,,,,EHDSEndpoint.payload.profileUri,,
,,,,,,EHDSEndpoint.address,,
,,,,,,EHDSEndpoint.header,,
,,,,,,EHDSHealthProfessional.identifier,,SHALL:able-to-populate
,,,,,,EHDSHealthProfessional.name,,SHALL:able-to-populate
,,,,,,EHDSHealthProfessional.address,,
,,,,,,EHDSHealthProfessional.telecom,,
,,,,,,EHDSHealthProfessional.professionalRole,,SHOULD:able-to-populate
,,,,,,EHDSHealthProfessional.professionalRole.role,,SHOULD:able-to-populate
,,,,,,EHDSHealthProfessional.professionalRole.organisation,,SHALL:able-to-populate
,,,,,,EHDSHealthProfessional.professionalRole.specialty,,SHOULD:able-to-populate
,,,,,,EHDSHumanName.use,,
,,,,,,EHDSHumanName.text,,
,,,,,,EHDSHumanName.family,,
,,,,,,EHDSHumanName.given,,
,,,,,,EHDSHumanName.prefix,,
,,,,,,EHDSHumanName.suffix,,
,,,,,,EHDSImagingReport.header,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.header.subject,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.header.identifier,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.header.author[x],SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.header.date,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.header.status,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.header.source,,
,,,,,,EHDSImagingReport.header.language,,SHALL:able-to-populate
,,,,,,EHDSImagingReport.header.documentType,,SHALL:able-to-populate
,,,,,,EHDSImagingReport.header.documentTitle,,SHALL:able-to-populate
,,,,,,EHDSImagingReport.header.period,,SHOULD:able-to-populate
,,,,,,EHDSImagingReport.header.version,,
,,,,,,EHDSImagingReport.header.attestation,,SHALL:able-to-populate
,,,,,,EHDSImagingReport.header.attestation.attester[x],SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.header.attestation.datetime,,SHALL:able-to-populate
,,,,,,EHDSImagingReport.header.legalAuthentication,,SHALL:able-to-populate
,,,,,,EHDSImagingReport.header.legalAuthentication.legalAuthenticator[x],SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.header.legalAuthentication.datetime,,SHALL:able-to-populate
,,,,,,EHDSImagingReport.header.eventType,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSImagingReport.header.serviceSpecialty,SHOULD:process,
,,,,,,EHDSImagingReport.header.custodian,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSImagingReport.header.accessionNumber,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.header.intendedRecipient[x],,SHOULD:able-to-populate
,,,,,,EHDSImagingReport.presentedForm,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSImagingReport.body,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.body.orderInformation,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSImagingReport.body.orderInformation.orderId,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.body.orderInformation.orderDateAndTime,,
,,,,,,EHDSImagingReport.body.orderInformation.orderPlacer[x],,
,,,,,,EHDSImagingReport.body.orderInformation.orderReason[x],SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSImagingReport.body.orderInformation.clinicalQuestion,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.body.supportingInformation,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSImagingReport.body.supportingInformation.observation,,SHOULD:able-to-populate
,,,,,,EHDSImagingReport.body.supportingInformation.condition,,SHOULD:able-to-populate
,,,,,,EHDSImagingReport.body.supportingInformation.priorMedicationAdministration,,SHOULD:able-to-populate
,,,,,,EHDSImagingReport.body.supportingInformation.device,,SHOULD:able-to-populate
,,,,,,EHDSImagingReport.body.supportingInformation.pregnancyStatus,,SHOULD:able-to-populate
,,,,,,EHDSImagingReport.body.supportingInformation.sexForClinicalUse,,SHOULD:able-to-populate
,,,,,,EHDSImagingReport.body.specimen,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSImagingReport.body.exposureInformation,,SHOULD:able-to-populate
,,,,,,EHDSImagingReport.body.examinationReport,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.body.examinationReport.modality,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.body.examinationReport.bodySite,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.body.examinationReport.imagingProcedures,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.body.examinationReport.medicationAdministration,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.body.examinationReport.adverseReaction,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.body.examinationReport.results[x],SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.body.examinationReport.conclusion,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.body.examinationReport.conclusion.impression,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.body.examinationReport.conclusion.conditionOrFinding[x],SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.body.recommendation,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSImagingReport.body.recommendation.description,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.body.recommendation.carePlan,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSImagingReport.body.comparisonStudy,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.dicomStudyMetadata,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingReport.attachments,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSImagingStudy.header,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingStudy.header.subject,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingStudy.header.identifier,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingStudy.header.author[x],SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingStudy.header.date,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingStudy.header.status,,SHALL:able-to-populate
,,,,,,EHDSImagingStudy.header.source,,
,,,,,,EHDSImagingStudy.header.language,,SHOULD:able-to-populate
,,,,,,EHDSImagingStudy.encounter,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSImagingStudy.studyCustodian,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingStudy.studyEndpoint,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSImagingStudy.series.seriesUid,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingStudy.series.specimen,,
,,,,,,EHDSImagingStudy.series.instancesInTheSeries,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingStudy.series.instancesInTheSeries.instanceTitle,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingStudy.series.instancesInTheSeries.instanceUid,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingStudy.series.instancesInTheSeries.sopClass,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingStudy.series.instancesInTheSeries.instanceNumber,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSImagingStudy.series.instancesInTheSeries.numberOfFrames,,SHOULD:able-to-populate
,,,,,,EHDSImagingStudy.series.instancesInTheSeries.keyImage,,SHOULD:able-to-populate
,,,,,,EHDSImagingStudy.series.instancesInTheSeries.keyImage.flag,,SHOULD:able-to-populate
,,,,,,EHDSImagingStudy.series.instancesInTheSeries.keyImage.reason,,SHOULD:able-to-populate
,,,,,,EHDSImagingStudy.series.instancesInTheSeries.keyImage.seriesUID,,SHALL:able-to-populate
,,,,,,EHDSImagingStudy.series.instancesInTheSeries.keyImage.instanceUID,,SHALL:able-to-populate
,,,,,,EHDSImmunisation.header,,
,,,,,,EHDSImmunisation.header.subject,,SHALL:able-to-populate
,,,,,,EHDSImmunisation.header.identifier,,SHOULD:able-to-populate
,,,,,,EHDSImmunisation.header.author[x],,
,,,,,,EHDSImmunisation.header.date,,
,,,,,,EHDSImmunisation.header.status,,SHALL:able-to-populate
,,,,,,EHDSImmunisation.header.source,,
,,,,,,EHDSImmunisation.header.language,,
,,,,,,EHDSImmunisation.diseaseOrAgentTargeted,,
,,,,,,EHDSImmunisation.vaccine,,SHALL:able-to-populate
,,,,,,EHDSImmunisation.administeredProduct,,SHOULD:able-to-populate
,,,,,,EHDSImmunisation.administrationTime,,SHALL:able-to-populate
,,,,,,EHDSImmunisation.administeringCentre,,
,,,,,,EHDSImmunisation.administrator,,
,,,,,,EHDSImmunisation.note,,
,,,,,,EHDSLaboratoryObservation.header,,
,,,,,,EHDSLaboratoryObservation.header.subject,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.header.identifier,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.header.author[x],SHOULD:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.header.date,,
,,,,,,EHDSLaboratoryObservation.header.status,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.header.source,,
,,,,,,EHDSLaboratoryObservation.header.language,,
,,,,,,EHDSLaboratoryObservation.header.directSubject[x],SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.observationDate[x],SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.type,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.originalName,SHOULD:display,SHOULD:able-to-populate
,,,,,,EHDSLaboratoryObservation.method,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.specimen,SHOULD:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.order,,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.performer[x],,SHOULD:able-to-populate
,,,,,,EHDSLaboratoryObservation.bodySite,,
,,,,,,EHDSLaboratoryObservation.result,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.result.value[x],SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.result.uncertainty,SHOULD:display,SHOULD:able-to-populate
,,,,,,EHDSLaboratoryObservation.result.uncertainty.value,,
,,,,,,EHDSLaboratoryObservation.result.uncertainty.type,,
,,,,,,EHDSLaboratoryObservation.result.dataAbsentReason,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.referenceRange,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.referenceRange.low,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.referenceRange.high,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.referenceRange.normalValue,SHALL:display,SHOULD:able-to-populate
,,,,,,EHDSLaboratoryObservation.referenceRange.type,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.referenceRange.appliesTo,,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.referenceRange.age,,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.referenceRange.text,SHALL:display,SHOULD:able-to-populate
,,,,,,EHDSLaboratoryObservation.interpretation,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.note,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.component,SHALL:display,SHOULD:able-to-populate
,,,,,,EHDSLaboratoryObservation.component.type,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.component.originalName,SHOULD:display,SHOULD:able-to-populate
,,,,,,EHDSLaboratoryObservation.component.result,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.component.result.value[x],SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.component.result.uncertainty,SHOULD:display,SHOULD:able-to-populate
,,,,,,EHDSLaboratoryObservation.component.result.uncertainty.value,,
,,,,,,EHDSLaboratoryObservation.component.result.uncertainty.type,,
,,,,,,EHDSLaboratoryObservation.component.result.dataAbsentReason,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.component.referenceRange,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.component.referenceRange.low,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.component.referenceRange.high,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.component.referenceRange.normalValue,SHALL:display,SHOULD:able-to-populate
,,,,,,EHDSLaboratoryObservation.component.referenceRange.type,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.component.referenceRange.appliesTo,,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.component.referenceRange.age,,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.component.referenceRange.text,SHALL:display,SHOULD:able-to-populate
,,,,,,EHDSLaboratoryObservation.component.interpretation,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.derivedFrom[x],,SHOULD:able-to-populate
,,,,,,EHDSLaboratoryObservation.hasMember[x],,SHOULD:able-to-populate
,,,,,,EHDSLaboratoryObservation.triggeredBy[x],,SHOULD:able-to-populate
,,,,,,EHDSLaboratoryObservation.testKit,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.calibrator,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSLaboratoryObservation.accreditationStatus,,
,,,,,,EHDSLaboratoryObservation.previousResults,,
,,,,,,EHDSLaboratoryObservation.pointOfCareTest,,
,,,,,,EHDSLaboratoryReport.header,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.header.subject,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.header.identifier,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.header.author[x],SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.header.date,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.header.status,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.header.source,,
,,,,,,EHDSLaboratoryReport.header.language,,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.header.documentType,,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.header.documentTitle,,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.header.period,,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.header.version,,
,,,,,,EHDSLaboratoryReport.header.attestation,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.header.attestation.attester[x],SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.header.attestation.datetime,,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.header.legalAuthentication,,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.header.legalAuthentication.legalAuthenticator[x],,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.header.legalAuthentication.datetime,,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.header.eventType,,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.header.serviceSpecialty,SHOULD:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.header.custodian,,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.header.intendedRecipient[x],,
,,,,,,EHDSLaboratoryReport.presentedForm,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.body,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.body.orderInformation,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.body.orderInformation.orderId,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.body.orderInformation.orderDateAndTime,,
,,,,,,EHDSLaboratoryReport.body.orderInformation.orderPlacer[x],SHOULD:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.body.orderInformation.orderReason[x],SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.body.orderInformation.clinicalQuestion,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.body.supportingInformation,SHALL:display,SHOULD:able-to-populate
,,,,,,EHDSLaboratoryReport.body.supportingInformation.observation,SHALL:display,SHOULD:able-to-populate
,,,,,,EHDSLaboratoryReport.body.supportingInformation.condition,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.body.supportingInformation.medicationAdministration,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.body.supportingInformation.sexForClinicalUse,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.body.supportingInformation.vaccination,SHALL:display,SHOULD:able-to-populate
,,,,,,EHDSLaboratoryReport.body.supportingInformation.otherSupportingInformation,SHOULD:display,SHOULD:able-to-populate
,,,,,,EHDSLaboratoryReport.body.specimen,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.body.serviceRequest,SHOULD:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.body.resultData,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.body.resultData.commentsInterpretationAndRecommendations,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.body.resultData.laboratoryTestResults,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSLaboratoryReport.attachments,SHOULD:display,SHOULD:able-to-populate
,,,,,,EHDSLocation.identifier,,
,,,,,,EHDSLocation.name,,
,,,,,,EHDSLocation.description,,
,,,,,,EHDSLocation.type,,
,,,,,,EHDSLocation.address,,
,,,,,,EHDSLocation.managingOrganisation,,
,,,,,,EHDSLocation.partOf,,
,,,,,,EHDSMedication.identifyingCode[x],,SHALL:able-to-populate
,,,,,,EHDSMedication.classification,,
,,,,,,EHDSMedication.productName,,SHOULD:able-to-populate
,,,,,,EHDSMedication.marketingAuthorisationHolder,,
,,,,,,EHDSMedication.marketingAuthorisationHolder.organisationName,,
,,,,,,EHDSMedication.marketingAuthorisationHolder.organisationIdentifier,,
,,,,,,EHDSMedication.doseForm,,SHOULD:able-to-populate
,,,,,,EHDSMedication.description,,
,,,,,,EHDSMedication.item,,SHOULD:able-to-populate
,,,,,,EHDSMedication.item.doseForm,,SHOULD:able-to-populate
,,,,,,EHDSMedication.item.ingredient,,
,,,,,,EHDSMedication.item.ingredient.isActive,,
,,,,,,EHDSMedication.item.ingredient.substance,,SHALL:able-to-populate
,,,,,,EHDSMedication.item.ingredient.strengthInfo,,SHOULD:able-to-populate
,,,,,,EHDSMedication.item.ingredient.strengthInfo.strength,,SHALL:able-to-populate
,,,,,,EHDSMedication.item.ingredient.strengthInfo.basisOfStrengthSubstance,,
,,,,,,EHDSMedication.item.unitOfPresentation,,
,,,,,,EHDSMedication.item.containedQuantity,,
,,,,,,EHDSMedication.item.amount,,
,,,,,,EHDSMedication.item.packageType,,
,,,,,,EHDSMedication.device,,
,,,,,,EHDSMedication.device.deviceQuantity,,
,,,,,,EHDSMedication.device.device[x],,
,,,,,,EHDSMedication.characteristic,,
,,,,,,EHDSMedication.characteristic.type,,
,,,,,,EHDSMedication.characteristic.value[x],,
,,,,,,EHDSMedication.batch,,
,,,,,,EHDSMedication.batch.lotNumber,,
,,,,,,EHDSMedication.batch.expirationDate,,
,,,,,,EHDSMedicationAdministration.header,,
,,,,,,EHDSMedicationAdministration.header.subject,,SHALL:able-to-populate
,,,,,,EHDSMedicationAdministration.header.identifier,,
,,,,,,EHDSMedicationAdministration.header.author[x],,
,,,,,,EHDSMedicationAdministration.header.date,,
,,,,,,EHDSMedicationAdministration.header.status,,SHALL:able-to-populate
,,,,,,EHDSMedicationAdministration.header.source,,
,,,,,,EHDSMedicationAdministration.header.language,,
,,,,,,EHDSMedicationAdministration.medication,,SHALL:able-to-populate
,,,,,,EHDSMedicationAdministration.occurrence[x],,SHALL:able-to-populate
,,,,,,EHDSMedicationAdministration.reason[x],,
,,,,,,EHDSMedicationAdministration.dosage,,SHALL:able-to-populate
,,,,,,EHDSMedicationAdministration.note,,
,,,,,,EHDSMedicationDispense.header,,
,,,,,,EHDSMedicationDispense.header.subject,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSMedicationDispense.header.identifier,,
,,,,,,EHDSMedicationDispense.header.author[x],SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSMedicationDispense.header.date,SHOULD:process,SHALL:able-to-populate
,,,,,,EHDSMedicationDispense.header.status,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSMedicationDispense.header.source,,
,,,,,,EHDSMedicationDispense.header.language,,
,,,,,,EHDSMedicationDispense.dispenseLocation,,
,,,,,,EHDSMedicationDispense.receiver[x],,
,,,,,,EHDSMedicationDispense.relatedRequest,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSMedicationDispense.medication,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSMedicationDispense.dispensedQuantity,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSMedicationDispense.timeOfDispensation,,
,,,,,,EHDSMedicationDispense.substitutionOccurred,,
,,,,,,EHDSMedicationDispense.dosageInstructions,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSMedicationDispense.note,,
,,,,,,EHDSMedicationPrescription.header,,
,,,,,,EHDSMedicationPrescription.header.subject,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSMedicationPrescription.header.identifier,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSMedicationPrescription.header.author[x],SHALL:process,SHALL:able-to-populate
,,,,,,EHDSMedicationPrescription.header.date,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSMedicationPrescription.header.status,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSMedicationPrescription.header.source,,
,,,,,,EHDSMedicationPrescription.header.language,,
,,,,,,EHDSMedicationPrescription.header.statusReason[x],,
,,,,,,EHDSMedicationPrescription.presentedForm,SHOULD:display,SHOULD:able-to-populate
,,,,,,EHDSMedicationPrescription.prescriptionItem,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSMedicationPrescription.prescriptionItem.identifier,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSMedicationPrescription.prescriptionItem.status,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSMedicationPrescription.prescriptionItem.statusReason[x],,
,,,,,,EHDSMedicationPrescription.prescriptionItem.medication,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSMedicationPrescription.prescriptionItem.indication[x],,
,,,,,,EHDSMedicationPrescription.prescriptionItem.intendedUseType,,
,,,,,,EHDSMedicationPrescription.prescriptionItem.periodOfUse,,
,,,,,,EHDSMedicationPrescription.prescriptionItem.quantityPrescribed,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSMedicationPrescription.prescriptionItem.dosageInstructions,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSMedicationPrescription.prescriptionItem.validityPeriod,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSMedicationPrescription.prescriptionItem.substitution,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSMedicationPrescription.prescriptionItem.substitution.allowed[x],SHALL:process,SHALL:able-to-populate
,,,,,,EHDSMedicationPrescription.prescriptionItem.substitution.reason[x],,
,,,,,,EHDSMedicationPrescription.prescriptionItem.numberOfRepeats,,
,,,,,,EHDSMedicationPrescription.prescriptionItem.minimumDispenseInterval,,
,,,,,,EHDSMedicationPrescription.prescriptionItem.offLabel,,
,,,,,,EHDSMedicationPrescription.prescriptionItem.offLabel.isOffLabelUse,,
,,,,,,EHDSMedicationPrescription.prescriptionItem.offLabel.reason[x],,
,,,,,,EHDSMedicationPrescription.prescriptionItem.note,SHOULD:display,SHOULD:able-to-populate
,,,,,,EHDSMedicationUse.header,,
,,,,,,EHDSMedicationUse.header.subject,,SHALL:able-to-populate
,,,,,,EHDSMedicationUse.header.identifier,,
,,,,,,EHDSMedicationUse.header.author[x],,
,,,,,,EHDSMedicationUse.header.date,,
,,,,,,EHDSMedicationUse.header.status,,SHALL:able-to-populate
,,,,,,EHDSMedicationUse.header.source,,
,,,,,,EHDSMedicationUse.header.language,,
,,,,,,EHDSMedicationUse.treatmentStatus,,
,,,,,,EHDSMedicationUse.changeType,,
,,,,,,EHDSMedicationUse.medication,,SHALL:able-to-populate
,,,,,,EHDSMedicationUse.reason[x],,SHOULD:able-to-populate
,,,,,,EHDSMedicationUse.dosageInstructions,,SHALL:able-to-populate
,,,,,,EHDSMedicationUse.periodOfUse,,SHALL:able-to-populate
,,,,,,EHDSMedicationUse.derivedFrom[x],,
,,,,,,EHDSMedicationUse.note,,SHOULD:able-to-populate
,,,,,,EHDSObservation.header,,
,,,,,,EHDSObservation.header.subject,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSObservation.header.identifier,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSObservation.header.author[x],SHOULD:display,SHOULD:able-to-populate
,,,,,,EHDSObservation.header.date,,
,,,,,,EHDSObservation.header.status,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSObservation.header.source,,
,,,,,,EHDSObservation.header.language,,
,,,,,,EHDSObservation.header.directSubject[x],SHALL:display,SHALL:able-to-populate
,,,,,,EHDSObservation.observationDate[x],SHALL:display,SHALL:able-to-populate
,,,,,,EHDSObservation.type,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSObservation.originalName,SHOULD:display,SHOULD:able-to-populate
,,,,,,EHDSObservation.method,,
,,,,,,EHDSObservation.specimen,,
,,,,,,EHDSObservation.order,,
,,,,,,EHDSObservation.performer[x],,SHOULD:able-to-populate
,,,,,,EHDSObservation.bodySite,,
